"No.","Time","Source","Destination","Protocol","Length","Sender IP address","Info"
"60555","8.716117","10.1.1.2","10.1.2.8","TCP","626","","[TCP Retransmission] 49159  >  15 [ACK] Seq=407113 Ack=1 Win=131072 Len=536 TSval=8637 TSecr=8528"
"60796","8.734219","10.1.1.2","10.1.2.8","TCP","626","","[TCP Retransmission] 49159  >  15 [ACK] Seq=407113 Ack=1 Win=131072 Len=536 TSval=8637 TSecr=8528"
"61581","8.830677","10.1.1.2","10.1.2.11","TCP","90","","49  >  49153 [ACK] Seq=1 Ack=86017 Win=131072 Len=0 TSval=8748 TSecr=8627"
"61646","8.837659","10.1.1.2","10.1.2.17","TCP","90","","55  >  49153 [ACK] Seq=1 Ack=87041 Win=131072 Len=0 TSval=8789 TSecr=8667"
"61648","8.837816","10.1.1.2","10.1.2.3","TCP","90","","41  >  49153 [ACK] Seq=1 Ack=87041 Win=131072 Len=0 TSval=8795 TSecr=8670"
"61654","8.838629","10.1.1.2","10.1.2.19","TCP","90","","57  >  49153 [ACK] Seq=1 Ack=87041 Win=131072 Len=0 TSval=8796 TSecr=8674"
"61656","8.838863","10.1.1.2","10.1.2.7","TCP","90","","45  >  49153 [ACK] Seq=1 Ack=87041 Win=131072 Len=0 TSval=8807 TSecr=8671"
"61715","8.843460","10.1.1.2","10.1.2.21","TCP","90","","59  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8824 TSecr=8703"
"61721","8.846628","10.1.1.2","10.1.2.13","TCP","90","","51  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8828 TSecr=8706"
"61730","8.849004","10.1.1.2","10.1.2.17","TCP","90","","55  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8831 TSecr=8708"
"61741","8.853735","10.1.1.2","10.1.2.7","TCP","90","","45  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8835 TSecr=8712"
"61743","8.853933","10.1.1.2","10.1.2.9","TCP","90","","47  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8836 TSecr=8714"
"61747","8.854417","10.1.1.2","10.1.2.3","TCP","90","","41  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8836 TSecr=8710"
"61749","8.854836","10.1.1.2","10.1.2.11","TCP","626","","[TCP Previous segment not captured] 49162  >  18 [ACK] Seq=1180313 Ack=1 Win=131072 Len=536 TSval=8836 TSecr=8731"
"61841","8.861459","10.1.1.2","10.1.2.15","TCP","90","","53  >  49153 [ACK] Seq=1 Ack=88065 Win=131072 Len=0 TSval=8842 TSecr=8716"
"61843","8.862726","10.1.1.2","10.1.2.17","TCP","626","","[TCP Previous segment not captured] 49168  >  24 [ACK] Seq=772361 Ack=1 Win=131072 Len=536 TSval=8844 TSecr=8742"
"61886","8.869880","10.1.1.2","10.1.2.20","TCP","626","","[TCP Previous segment not captured] 49171  >  27 [ACK] Seq=242809 Ack=1 Win=131072 Len=536 TSval=8851 TSecr=8746"
"62001","8.883037","10.1.1.2","10.1.2.19","TCP","90","","[TCP ACKed unseen segment] 57  >  49153 [ACK] Seq=1 Ack=88113 Win=131072 Len=0 TSval=8865 TSecr=8759"
"62013","8.892782","10.1.1.2","10.1.2.13","FTP-DATA","626","","[TCP Previous segment not captured] FTP Data: 536 bytes"
"62178","8.909601","10.1.1.2","10.1.2.19","TCP","90","","57  >  49153 [ACK] Seq=1 Ack=89089 Win=131072 Len=0 TSval=8877 TSecr=8759"
"62185","8.910225","10.1.1.2","10.1.2.7","TCP","90","","45  >  49153 [ACK] Seq=1 Ack=89089 Win=131072 Len=0 TSval=8878 TSecr=8759"
"62187","8.910432","10.1.1.2","10.1.2.11","TCP","90","","49  >  49153 [ACK] Seq=1 Ack=89089 Win=131072 Len=0 TSval=8879 TSecr=8750"
"62189","8.910670","10.1.1.2","10.1.2.3","TCP","90","","[TCP ACKed unseen segment] 41  >  49153 [ACK] Seq=1 Ack=89089 Win=131072 Len=0 TSval=8885 TSecr=8751"
"62191","8.910827","10.1.1.2","10.1.2.17","TCP","90","","[TCP ACKed unseen segment] 55  >  49153 [ACK] Seq=1 Ack=89089 Win=131072 Len=0 TSval=8890 TSecr=8749"
"62195","8.911562","10.1.1.2","10.1.2.21","TCP","626","","[TCP Previous segment not captured] 49172  >  28 [ACK] Seq=986585 Ack=1 Win=131072 Len=536 TSval=8893 TSecr=8760"
"63015","9.018508","10.1.1.2","10.1.2.2","DISCARD","626","","[TCP Previous segment not captured] Discard"
"63138","9.032233","10.1.1.2","10.1.2.13","TCP","90","","51  >  49153 [ACK] Seq=1 Ack=92161 Win=131072 Len=0 TSval=8993 TSecr=8870"
"63307","9.045434","10.1.1.2","10.1.2.11","TCP","90","","49  >  49153 [ACK] Seq=1 Ack=92161 Win=131072 Len=0 TSval=9002 TSecr=8873"
"65400","9.345502","10.1.1.2","10.1.2.21","TCP","90","","59  >  49153 [ACK] Seq=1 Ack=99329 Win=131072 Len=0 TSval=9276 TSecr=9154"
"66665","9.656860","10.1.1.2","10.1.2.20","TCP","626","","[TCP Previous segment not captured] 49171  >  27 [ACK] Seq=292121 Ack=1 Win=131072 Len=536 TSval=9340 TSecr=9234"
"66667","9.658394","10.1.1.2","10.1.2.20","TCP","626","","[TCP Retransmission] 49171  >  27 [ACK] Seq=292121 Ack=1 Win=131072 Len=536 TSval=9340 TSecr=9234"
