"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"704","12.668797221","192.168.33.211","103.25.231.30","TCP","150","-36 dBm,-43 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","[TCP ACKed unseen segment] 58879  >  443 [ACK] Seq=4856 Ack=907945 Win=5190 Len=0 TSval=2942639328 TSecr=898421546"
"705","12.668801274","192.168.33.211","103.25.231.30","TCP","150","-36 dBm,-43 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","[TCP ACKed unseen segment] 58879  >  443 [ACK] Seq=4856 Ack=913169 Win=5190 Len=0 TSval=2942639329 TSecr=898421546"
"707","12.674088733","103.25.231.30","192.168.33.211","SSL","1456","-22 dBm,-31 dBm,-22 dBm","52","","-22 dBm","QoS Data","Continuation Data"
"708","12.674112694","103.25.231.30","192.168.33.211","SSL","1456","-22 dBm,-31 dBm,-22 dBm","52","","-22 dBm","QoS Data","Continuation Data"
"709","12.674116873","103.25.231.30","192.168.33.211","SSL","1456","-22 dBm,-31 dBm,-22 dBm","52","","-22 dBm","QoS Data","Continuation Data"
"710","12.674125276","103.25.231.30","192.168.33.211","SSL","1456","-22 dBm,-31 dBm,-22 dBm","52","","-22 dBm","QoS Data","Continuation Data"
"711","12.674129808","103.25.231.30","192.168.33.211","SSL","1456","-22 dBm,-31 dBm,-22 dBm","52","","-22 dBm","QoS Data","Continuation Data"
"714","12.675543971","192.168.33.211","103.25.231.30","TCP","150","-36 dBm,-42 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","58879  >  443 [ACK] Seq=4856 Ack=917087 Win=5190 Len=0 TSval=2942639343 TSecr=898421546"
"715","12.675550634","192.168.33.211","52.73.69.130","TCP","162","-36 dBm,-42 dBm,-36 dBm","144.444","","-36 dBm","QoS Data","58892  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3790035045 TSecr=0 SACK_PERM"
"717","12.680638736","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=913169 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"718","12.680663634","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=914475 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"719","12.680668935","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=915781 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"720","12.680674446","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","[TCP Retransmission] 443  >  58879 [ACK] Seq=917087 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"721","12.680679703","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","[TCP Retransmission] 443  >  58879 [ACK] Seq=918393 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"722","12.680683042","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"723","12.680691562","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"724","12.680694848","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"725","12.680698409","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"726","12.680701865","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
"727","12.680705115","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","39","","-25 dBm","QoS Data","Continuation Data"
