"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"76","71.776074494","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-93 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"77","71.832358536","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-91 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"78","71.876442159","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-93 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"79","75.736792416","","Apple_ae:39:af","802.11","70","-87 dBm,-90 dBm,-87 dBm","1","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"80","75.751729237","","Apple_e3:00:f2","802.11","70","-88 dBm,-92 dBm,-88 dBm","1","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"81","75.921781562","","Apple_30:05:a5","802.11","70","-90 dBm,-93 dBm,-90 dBm","1","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"82","75.978728575","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-93 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"83","79.876793246","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-88 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"84","79.931639408","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-91 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"85","84.087374221","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-90 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"86","84.132297620","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-89 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"87","91.460250491","","AristaNetwor_76:12:a0","802.11","70","-86 dBm,-89 dBm,-86 dBm","2","","-86 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"88","91.489770700","","AristaNetwor_76:12:a0","802.11","70","-87 dBm,-89 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"89","91.495788655","","AristaNetwor_76:12:a0","802.11","70","-89 dBm,-92 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"90","91.525047151","","AristaNetwor_76:12:a0","802.11","70","-87 dBm,-93 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"91","91.560497366","","AristaNetwor_76:12:a0","802.11","70","-88 dBm,-92 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"92","91.562967168","","AristaNetwor_76:12:a0","802.11","70","-87 dBm,-91 dBm,-87 dBm","12","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"93","91.586735127","","AristaNetwor_76:12:a0","802.11","70","-86 dBm,-89 dBm,-86 dBm","2","","-86 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"94","91.617399905","","AristaNetwor_76:12:a0","802.11","70","-88 dBm,-93 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"95","99.185636850","","AristaNetwor_c5:4b:b1","802.11","70","-48 dBm,-53 dBm,-48 dBm","1","","-48 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"96","99.776692141","","AristaNetwor_c5:4b:b1","802.11","70","-47 dBm,-53 dBm,-47 dBm","1","","-47 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"97","103.377385264","","AristaNetwor_c5:4b:b1","802.11","70","-47 dBm,-48 dBm,-47 dBm","1","","-47 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"98","103.901836537","","AristaNetwor_c5:4b:b1","802.11","70","-47 dBm,-53 dBm,-47 dBm","1","","-47 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"99","103.960870140","","AristaNetwor_c5:4b:b1","802.11","70","-47 dBm,-53 dBm,-47 dBm","1","","-47 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"100","103.961670966","","AristaNetwor_c5:4b:b1","802.11","70","-46 dBm,-52 dBm,-46 dBm","1","","-46 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"101","103.966602997","","AristaNetwor_c5:4b:b1","802.11","70","-46 dBm,-53 dBm,-46 dBm","1","","-46 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"102","104.389065561","","SamsungElect_c8:11:b4","802.11","70","-88 dBm,-93 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"103","104.415645370","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-90 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"104","104.420032228","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-92 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"105","104.433783057","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-93 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"106","104.439217001","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-88 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"107","104.491718597","","SamsungElect_c8:11:b4","802.11","70","-88 dBm,-91 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"108","104.568314533","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-91 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"109","112.521038984","","7a:66:f5:a2:e6:f5","802.11","70","-87 dBm,-93 dBm,-87 dBm","2","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"110","112.561501670","","7a:66:f5:a2:e6:f5","802.11","70","-88 dBm,-91 dBm,-88 dBm","2","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"111","116.851581249","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-92 dBm,-89 dBm","2","","-89 dBm","Acknowledgement","Acknowledgement, Flags=........C"
